iter	Logloss
0	0.6399112608
1	0.5984983056
2	0.5676944612
3	0.5413770135
4	0.5217230197
5	0.505353169
6	0.494327819
7	0.4841598342
8	0.4745032504
9	0.4669941217
10	0.4609200364
11	0.4566877541
12	0.4526487453
13	0.4496368449
14	0.4477296389
15	0.4456141585
16	0.4435856671
17	0.4416113904
18	0.4401799407
19	0.4386129638
20	0.4375542602
21	0.436437216
22	0.4355943835
23	0.4348420206
24	0.4342091787
25	0.4336287956
26	0.43344635
27	0.4328170503
28	0.4324226713
29	0.4316390311
30	0.4311482491
31	0.4307003951
32	0.4303227081
33	0.429788153
34	0.4295222128
35	0.4294639708
36	0.4291963728
37	0.428979772
38	0.4283676228
39	0.4278254343
40	0.4273704924
41	0.4269149367
42	0.4267541383
43	0.4267437402
44	0.4264065599
45	0.4263130358
46	0.4258645822
47	0.4258066741
48	0.4256762857
49	0.425524672
50	0.4253910546
51	0.4252576925
52	0.424953831
53	0.4248215927
54	0.42462953
55	0.4244641646
56	0.4242797755
57	0.4240809576
58	0.423898388
59	0.4236787814
60	0.4235617514
61	0.4235613861
62	0.423349442
63	0.4230631021
64	0.4228686821
65	0.4227573696
66	0.4225423687
67	0.4224919004
68	0.4223503535
69	0.4222144893
70	0.4221840016
71	0.4220462807
72	0.4219431495
73	0.4218521741
74	0.4217792037
75	0.4215601808
76	0.4213264331
77	0.4210321921
78	0.4209393462
79	0.4209393419
80	0.4207063471
81	0.4205044223
82	0.420321795
83	0.4201589537
84	0.4200316041
85	0.4199106449
86	0.4198280116
87	0.4197209133
88	0.4196360878
89	0.4195049959
90	0.4193127459
91	0.41910672
92	0.4187129931
93	0.4186742827
94	0.4183942287
95	0.418316462
96	0.4179915888
97	0.4178741795
98	0.4177971415
99	0.4177088906
100	0.4175771822
101	0.4175033659
102	0.4171977751
103	0.417040715
104	0.4169575285
105	0.4167467056
106	0.4164624086
107	0.4163637103
108	0.4163166309
109	0.416065025
110	0.4158307346
111	0.4155496942
112	0.4153655037
113	0.415255983
114	0.4149581397
115	0.4148207507
116	0.4146663676
117	0.4146389977
118	0.4145806688
119	0.4143129116
120	0.4139335649
121	0.4138817037
122	0.4135812722
123	0.4134376877
124	0.413350613
125	0.4133208866
126	0.4131782572
127	0.4130661199
128	0.4129723922
129	0.4128032114
130	0.4126385377
131	0.4125936997
132	0.4125456197
133	0.4123566636
134	0.4120982542
135	0.412058015
136	0.4120157384
137	0.411977953
138	0.4117381225
139	0.4116318502
140	0.4115256531
141	0.4114827945
142	0.4113701789
143	0.4112826398
144	0.4110601815
145	0.4109490768
146	0.4107460173
147	0.4106352723
148	0.4105210972
149	0.4103587458
150	0.4102043467
151	0.409917768
152	0.4096935284
153	0.4096042955
154	0.4094424918
155	0.4093036458
156	0.409165373
157	0.4090204972
158	0.4089281877
159	0.408744037
160	0.4086028398
161	0.4084569894
162	0.4083707941
163	0.4081829946
164	0.4081085075
165	0.4078742418
166	0.4076890441
167	0.4076399469
168	0.4074992404
169	0.4074368166
170	0.4073423151
171	0.4073082165
172	0.4072559739
173	0.4071556083
174	0.4070228103
175	0.4065973865
176	0.4065030991
177	0.4063127712
178	0.4062582736
179	0.4059173442
180	0.405809138
181	0.4057110973
182	0.405463777
183	0.4052661109
184	0.4050300216
185	0.4048990253
186	0.4046921194
187	0.4046372486
188	0.404595227
189	0.4044305572
190	0.404293561
191	0.4040746572
192	0.4040205747
193	0.4038787736
194	0.4037989457
195	0.4036814463
196	0.4035794866
197	0.4034501689
198	0.4033083758
199	0.4030654506
200	0.4030117249
201	0.4028961642
202	0.4027281169
